hits,quarter,year
17642,1,1900
16676,2,1900
18273,3,1900
17840,4,1900
17334,1,1901
17031,2,1901
16062,3,1901
16800,4,1901
16530,1,1902
16475,2,1902
17306,3,1902
16566,4,1902
16581,1,1903
16991,2,1903
17673,3,1903
16681,4,1903
15122,1,1904
15462,2,1904
15547,3,1904
13354,4,1904
13714,1,1905
15116,2,1905
14691,3,1905
13736,4,1905
13398,1,1906
13155,2,1906
13442,3,1906
13406,4,1906
14498,1,1907
15355,2,1907
16175,3,1907
15551,4,1907
14505,1,1908
14580,2,1908
15769,3,1908
14691,4,1908
14251,1,1909
14509,2,1909
15340,3,1909
14921,4,1909
15632,1,1910
17298,2,1910
18133,3,1910
15805,4,1910
14941,1,1911
15899,2,1911
16348,3,1911
16854,4,1911
18659,1,1912
17998,2,1912
16413,3,1912
16711,4,1912
17573,1,1913
17850,2,1913
16464,3,1913
17365,4,1913
17727,1,1914
18490,2,1914
18979,3,1914
18919,4,1914
18204,1,1915
19610,2,1915
18768,3,1915
17940,4,1915
17233,1,1916
16959,2,1916
16457,3,1916
15507,4,1916
19321,1,1917
18640,2,1917
17977,3,1917
18880,4,1917
18985,1,1918
19879,2,1918
17913,3,1918
16335,4,1918
17598,1,1919
19462,2,1919
19788,3,1919
21389,4,1919
21895,1,1920
22235,2,1920
21274,3,1920
23333,4,1920
25125,1,1921
26256,2,1921
24492,3,1921
26495,4,1921
27297,1,1922
27566,2,1922
26398,3,1922
27230,4,1922
22447,1,1923
21978,2,1923
20334,3,1923
20846,4,1923
22066,1,1924
22150,2,1924
20937,3,1924
21793,4,1924
23948,1,1925
24919,2,1925
24831,3,1925
24187,4,1925
27423,1,1926
30129,2,1926
30457,3,1926
37070,4,1926
39057,1,1927
40084,2,1927
38621,3,1927
41771,4,1927
41760,1,1928
41247,2,1928
38440,3,1928
40461,4,1928
41649,1,1929
41624,2,1929
41687,3,1929
43490,4,1929
43238,1,1930
44547,2,1930
39522,3,1930
41172,4,1930
41027,1,1931
43090,2,1931
39298,3,1931
41835,4,1931
37670,1,1932
34885,2,1932
32953,3,1932
35634,4,1932
45250,1,1933
41167,2,1933
34981,3,1933
35591,4,1933
41930,1,1934
43856,2,1934
39711,3,1934
42500,4,1934
41914,1,1935
41817,2,1935
40919,3,1935
44078,4,1935
42944,1,1936
43014,2,1936
41157,3,1936
45836,4,1936
42825,1,1937
43430,2,1937
40529,3,1937
42473,4,1937
40345,1,1938
39582,2,1938
36308,3,1938
40221,4,1938
39846,1,1939
41307,2,1939
38132,3,1939
41149,4,1939
39806,1,1940
39592,2,1940
36867,3,1940
40181,4,1940
43254,1,1941
42903,2,1941
39406,3,1941
42986,4,1941
40887,1,1942
38217,2,1942
36797,3,1942
37605,4,1942
36264,1,1943
35748,2,1943
33501,3,1943
34614,4,1943
33664,1,1944
33729,2,1944
32059,3,1944
34310,4,1944
30755,1,1945
31033,2,1945
31496,3,1945
32963,4,1945
33571,1,1946
36030,2,1946
35363,3,1946
38405,4,1946
39125,1,1947
39633,2,1947
37123,3,1947
39090,4,1947
37896,1,1948
38110,2,1948
37437,3,1948
40731,4,1948
39743,1,1949
39672,2,1949
38450,3,1949
40714,4,1949
40027,1,1950
41333,2,1950
40159,3,1950
39818,4,1950
39319,1,1951
41442,2,1951
39851,3,1951
41777,4,1951
41851,1,1952
39751,2,1952
37895,3,1952
39840,4,1952
38857,1,1953
39257,2,1953
36781,3,1953
36019,4,1953
37764,1,1954
36992,2,1954
34379,3,1954
37664,4,1954
36813,1,1955
36217,2,1955
33670,3,1955
37463,4,1955
35952,1,1956
36136,2,1956
34877,3,1956
36955,4,1956
35273,1,1957
35296,2,1957
33872,3,1957
37704,4,1957
38492,1,1958
37732,2,1958
35730,3,1958
32157,4,1958
37587,1,1959
37042,2,1959
35077,3,1959
37855,4,1959
37233,1,1960
36005,2,1960
35369,3,1960
36748,4,1960
35791,1,1961
34305,2,1961
33842,3,1961
36961,4,1961
35495,1,1962
36541,2,1962
36693,3,1962
29961,4,1962
9600,1,1963
36185,2,1963
34033,3,1963
35148,4,1963
34060,1,1964
33762,2,1964
32744,3,1964
33622,4,1964
32125,1,1965
32052,2,1965
27357,3,1965
28991,4,1965
32653,1,1966
32731,2,1966
31880,3,1966
33185,4,1966
31437,1,1967
31284,2,1967
29607,3,1967
29894,4,1967
30322,1,1968
30425,2,1968
29085,3,1968
29936,4,1968
28731,1,1969
26863,2,1969
25639,3,1969
27913,4,1969
26343,1,1970
25281,2,1970
25123,3,1970
25918,4,1970
24796,1,1971
23444,2,1971
22221,3,1971
24009,4,1971
23892,1,1972
22835,2,1972
22895,3,1972
26918,4,1972
24673,1,1973
25144,2,1973
23573,3,1973
24383,4,1973
24493,1,1974
24272,2,1974
23942,3,1974
24735,4,1974
23981,1,1975
24294,2,1975
23442,3,1975
24615,4,1975
23009,1,1976
23653,2,1976
22648,3,1976
22638,4,1976
22902,1,1977
23177,2,1977
23056,3,1977
23095,4,1977
21224,1,1978
22102,2,1978
9086,3,1978
12708,4,1978
19730,1,1979
20572,2,1979
19841,3,1979
21000,4,1979
20265,1,1980
26597,2,1980
38662,3,1980
42995,4,1980
21484,1,1981
23783,2,1981
23303,3,1981
26351,4,1981
24183,1,1982
23293,2,1982
23874,3,1982
25746,4,1982
24289,1,1983
26430,2,1983
25197,3,1983
26352,4,1983
26227,1,1984
27207,2,1984
26849,3,1984
26914,4,1984
24937,1,1985
26490,2,1985
25949,3,1985
27897,4,1985
26426,1,1986
27754,2,1986
26594,3,1986
27915,4,1986
26155,1,1987
27097,2,1987
25588,3,1987
27222,4,1987
26129,1,1988
25679,2,1988
25919,3,1988
26621,4,1988
25618,1,1989
26377,2,1989
24476,3,1989
26368,4,1989
25968,1,1990
25370,2,1990
23011,3,1990
23514,4,1990
21724,1,1991
22177,2,1991
21792,3,1991
21567,4,1991
22649,1,1992
23691,2,1992
22797,3,1992
22938,4,1992
21342,1,1993
21860,2,1993
21506,3,1993
23384,4,1993
20829,1,1994
21178,2,1994
21020,3,1994
21733,4,1994
20557,1,1995
22485,2,1995
22222,3,1995
23067,4,1995
20825,1,1996
20885,2,1996
20581,3,1996
20820,4,1996
24040,1,1997
24594,2,1997
24407,3,1997
26563,4,1997
25732,1,1998
25720,2,1998
25360,3,1998
26894,4,1998
26605,1,1999
26772,2,1999
25693,3,1999
27025,4,1999
26699,1,2000
26388,2,2000
26470,3,2000
27678,4,2000
25468,1,2001
26789,2,2001
27339,3,2001
29341,4,2001
28200,1,2002
28082,2,2002
26924,3,2002
29089,4,2002
28317,1,2003
28444,2,2003
26567,3,2003
27231,4,2003
27198,1,2004
26344,2,2004
25950,3,2004
26897,4,2004
26505,1,2005
26122,2,2005
25405,3,2005
26194,4,2005
28417,1,2006
34561,2,2006
36207,3,2006
37689,4,2006
37452,1,2007
37855,2,2007
37160,3,2007
38204,4,2007
39981,1,2008
39020,2,2008
39282,3,2008
39991,4,2008
41934,1,2009
41279,2,2009
40368,3,2009
43240,4,2009
41871,1,2010
40429,2,2010
38534,3,2010
38628,4,2010
37707,1,2011
37286,2,2011
41456,3,2011
48574,4,2011
45310,1,2012
39971,2,2012
35318,3,2012
28857,4,2012
29840,1,2013
31882,2,2013
51086,3,2013
28746,4,2013
75182,1,2014
76348,2,2014
75292,3,2014
91488,4,2014
90673,1,2015
78140,2,2015
77694,3,2015
79281,4,2015
78177,1,2016
89457,2,2016
68938,3,2016
65679,4,2016
